uniqueID,drugName,condition,review,rating,date,usefulCount,sentiment
34.0,Tata 1mg Saline Nasal Spray,nasal congestion,good product for nasal congestion,8.0,2023-08-05 00:00:00,30,Positive
35.0,Nasivion Classic Nasal Spray ,nasal congestion,its our first use and happy with result,9.0,2022-01-15 00:00:00,29,Positive
,Nasivion Classic Nasal Spray ,nasal congestion,"Good product, serves its purpose.",10.0,2022-05-01 00:00:00,37,Positive
,Nasivion Classic Nasal Spray ,nasal congestion,its excellent formula for blocked nose,10.0,2021-09-26 00:00:00,32,Positive
,Nasivion Classic Nasal Spray ,nasal congestion,Not of use,4.0,2022-12-30 00:00:00,30,Negative
,Himalaya Bresol NS Nasal Solution,nasal congestion,Very good and effective solution,10.0,2021-08-23 00:00:00,27,Positive
,Himalaya Bresol NS Nasal Solution,nasal congestion,Works initially but nose gets blocked after three hours or so.,6.0,2022-02-09 00:00:00,23,Neutral
,Himalaya Bresol NS Nasal Solution,nasal congestion,Very effective in nasal blocks and economical,10.0,2022-06-02 00:00:00,20,Positive
,Himalaya Bresol NS Nasal Solution,nasal congestion,Not giving results,4.0,2022-09-20 00:00:00,26,Negative
,Nosikind Nasal Spray,nasal congestion,Good for use ad compared to other Nasal spray,10.0,2022-02-28 00:00:00,34,Positive
,Nosikind Nasal Spray,nasal congestion,Very much effective,10.0,2020-01-15 00:00:00,35,Positive
,Nosikind Nasal Spray,nasal congestion,Spray not working properly,6.0,2020-12-26 00:00:00,38,Neutral
,Nosikind Nasal Spray,nasal congestion,"Worst product,spray not works properly...",4.0,2021-03-02 00:00:00,23,Negative
,Xylomist 0.1% Nasal Drops,nasal congestion,This Nasal Drop Better than any Other Drop,10.0,2021-03-12 00:00:00,25,Positive
,Xylomist 0.1% Nasal Drops,nasal congestion,DID NOT MAKE MUCH OF A DIFFERENCE,4.0,2021-07-20 00:00:00,26,Neutral
,Xylomist 0.1% Nasal Drops,nasal congestion,Good for people with allergy issues,10.0,2023-12-14 00:00:00,34,Positive
,Xylomist 0.1% Nasal Drops,nasal congestion,Very Fast n Effective,10.0,2022-11-18 00:00:00,40,Positive
,ISOTINE PLUS EYE DROP,Eye Drops,Very good product,10.0,2023-09-20 00:00:00,39,Positive
,ISOTINE PLUS EYE DROP,Eye Drops,I am using it for few months but see no visible difference on my eyes.,6.0,2023-06-01 00:00:00,34,Neutral
,ISOTINE PLUS EYE DROP,Eye Drops,Not so effective,6.0,2024-02-24 00:00:00,34,Negative
,ISOTINE PLUS EYE DROP,Eye Drops,"After the first application itself my vision got worse, than it was before",2.0,2024-01-30 00:00:00,23,Negative
,EyeSpa eye drops,Eye Drops, And this solution has proved to be even better than others I've used before.,10.0,2024-01-01 00:00:00,34,Positive
,EyeSpa eye drops,Eye Drops,good product hard to find in local chemist,8.0,2021-03-02 00:00:00,23,Positive
,EyeSpa eye drops,Eye Drops,Excellent for eye care,10.0,2024-01-02 00:00:00,34,Positive
,EyeSpa eye drops,Eye Drops,Did not like,4.0,2023-12-05 00:00:00,31,Negative
,Himalaya Ophtha Care Eye Drop ,Eye Drops,Mild drop. Good.,10.0,2023-08-17 00:00:00,25,Positive
,Himalaya Ophtha Care Eye Drop ,Eye Drops,Great product,10.0, 07-Dec-2023,35,Positive
,Optrex Refreshing Eye Drops,Eye Drops,Good product. Just what I needed.,10.0,2024-02-26 00:00:00,23,Positive
,Optrex Refreshing Eye Drops,Eye Drops,Would recommend for short term relief.,6.0, 6-Nov-23,42,Neutral
,Optrex Refreshing Eye Drops,Eye Drops," If like me you spend hours on the computer, this works a treat.",10.0,2023-12-01 00:00:00,23,Positive
,Optrex Refreshing Eye Drops,Eye Drops,Very pleasant application and immediately helps my tired eyes.,10.0,2023-10-02 00:00:00,28,Positive
,PATANJALI Drishti Eye Drop,Eye Drops,Always awesome,10.0,2018-08-28 00:00:00,45,Positive
,PATANJALI Drishti Eye Drop,Eye Drops,Giving me too much burning intolerable,5.0,2023-02-21 00:00:00,25,Negative
,PATANJALI Drishti Eye Drop,Eye Drops,Received expired products,4.0, 4-Apr-2023,13,Neutral
,PATANJALI Drishti Eye Drop,Eye Drops,It works,9.0, 25-Oct-2023,16,Positive
,Patanjali Divya Eargrit Eardrop,"Ear Drops,Vertigo",I am using before 7das and I feel so good.,10.0,2023-08-28 00:00:00,34,Positive
,Patanjali Divya Eargrit Eardrop,"Ear Drops,Vertigo",Excellent product for ears,10.0,2023-09-28 00:00:00,35,Positive
,Patanjali Divya Eargrit Eardrop,"Ear Drops,Vertigo",Replace it with regular nossle type design.,7.0,2023-08-24 00:00:00,24,Neutral
,Patanjali Divya Eargrit Eardrop,"Ear Drops,Vertigo",Not Good,4.0,2024-02-10 00:00:00,35,Negative
,Ceruklin Ear Drop,"Ear Drops,Vertigo",Effective in softening ear wax quickly giving relief to pain.,10.0,2022-12-23 00:00:00,43,Positive
,Ceruklin Ear Drop,"Ear Drops,Vertigo",Good Product,10.0,2022-05-20 00:00:00,39,Positive
,AL-EARTONE Ear Drops,"Ear Drops,Vertigo",I strongly recommend it,10.0,2024-03-02 00:00:00,20,Positive
,AL-EARTONE Ear Drops,"Ear Drops,Vertigo",Good product and packaging for parcel,10.0,2023-12-21 00:00:00,21,Positive
,AL-EARTONE Ear Drops,"Ear Drops,Vertigo",not working,3.0,2023-12-19 00:00:00,25,Negative
,AL-EARTONE Ear Drops,"Ear Drops,Vertigo","i saw result after using twice,worth it",10.0,2023-10-01 00:00:00,32,Positive
,Soliwax O Ear Drop,"Ear Drops,Vertigo",Did not notice any result,6.0,2023-10-15 00:00:00,36,Negative
,Soliwax O Ear Drop,"Ear Drops,Vertigo",Good product,10.0,2023-06-22 00:00:00,34,Positive
,Dabur Ashwagandharishta,Weakness,"Great taste, seems like an effective product",10.0,2021-10-20 00:00:00,16,Positive
,Dabur Ashwagandharishta,Weakness,Superb product.Very effective,10.0,2022-08-11 00:00:00,16,Positive
,Dabur Ashwagandharishta,Weakness,It should have been free from preservatives.,6.0,2023-05-28 00:00:00,29,Neutral
,Dabur Ashwagandharishta,Weakness,A good product but not so much effective,5.0,2022-09-08 00:00:00,27,Neutral
,Patanjali Ayurveda Shatavar Churna,Weakness,Not in good condition.,6.0,2022-05-08 00:00:00,42,Negative
,Patanjali Ayurveda Shatavar Churna,Weakness,Useful product,9.0,2022-10-19 00:00:00,35,Positive
,Patanjali Ayurveda Shatavar Churna,Weakness,Very good product,9.0,2022-10-30 00:00:00,38,Positive
,Patanjali Ayurveda Shatavar Churna,Weakness,"Good product , good results",10.0,2022-11-24 00:00:00,37,Positive
,Patanjali Ayurveda Ashvagandha Capsule,Weakness,Very good quality,10.0,2022-02-21 00:00:00,24,Positive
,Patanjali Ayurveda Ashvagandha Capsule,Weakness,Nice product. Make us energetic whole day,8.0,2022-04-23 00:00:00,32,Positive
,Patanjali Ayurveda Ashvagandha Capsule,Weakness,Good for health,10.0,2022-12-31 00:00:00,36,Positive
,Patanjali Ayurveda Ashvagandha Capsule,Weakness,So good benefit,10.0,2022-08-25 00:00:00,32,Positive
,Organic India Moringa Powder,Weakness,I like it as it is an antioxident,9.0,2021-04-10 00:00:00,35,Positive
,Organic India Moringa Powder,Weakness,Its good for digestion and muscle strength,10.0,2021-06-07 00:00:00,46,Positive
,Organic India Moringa Powder,Weakness,The nice product must buy for good health,10.0,2023-07-22 00:00:00,32,Positive
,Organic India Moringa Powder,Weakness,This is also a great product for health,10.0,2019-11-26 00:00:00,25,Positive
,Dexorange Hematinic Syrup ,Weakness,good product,10.0,2021-07-16 00:00:00,21,Positive
,Dexorange Hematinic Syrup ,Weakness,Syrup taste is good and effective,10.0,2022-03-10 00:00:00,36,Positive
,Dexorange Hematinic Syrup ,Weakness,Superb for iron improvement,10.0,2022-08-10 00:00:00,24,Positive
,Dexorange Hematinic Syrup ,Weakness,Value for money,9.0,2022-06-02 00:00:00,26,Neutral
,SheNeed Feminine Vaginal Douche Uti Relief,Vaginitis,Was very helpful for my uti n yeast infection.,10.0,2023-03-08 00:00:00,38,Positive
,SheNeed Feminine Vaginal Douche Uti Relief,Vaginitis,All the products from this brand are really good and worth the money ,9.0,2022-07-05 00:00:00,30,Positive
,BIOAYURVEDA Anti-Fungal Vaginal Cream,Vaginitis,This cream work very nicely ,10.0,2023-05-03 00:00:00,23,Positive
,BIOAYURVEDA Anti-Fungal Vaginal Cream,Vaginitis,Best product,10.0,2023-06-13 00:00:00,37,Positive
,BIOAYURVEDA Anti-Fungal Vaginal Cream,Vaginitis,Not getting result,5.0,2023-01-12 00:00:00,35,Negative
,VWash Plus Expert,Vaginitis,Good product for intimate wash,10.0,2024-01-14 00:00:00,43,Positive
,VWash Plus Expert,Vaginitis,Very good and soft on skin.,10.0,2023-11-26 00:00:00,33,Positive
,VWash Plus Expert,Vaginitis,Best to use regularly,9.0,2024-01-06 00:00:00,13,Positive
,Urikind-KM Sachet,Urinary Tract Infection,Good for urine infection,8.0,2021-08-02 00:00:00,55,Positive
,Urikind-KM Sachet,Urinary Tract Infection,this product urinal infection ke liye best hai…,10.0,2021-09-20 00:00:00,31,Positive
,Urikind-KM Sachet,Urinary Tract Infection,Very good to control UTI and easy to consume. ,10.0,2024-02-29 00:00:00,35,Positive
,Candid Multi-Benefit Skin Cream,Urinary Tract Infection,its a good antifungal cream,8.0,2021-12-07 00:00:00,24,Positive
,Candid Multi-Benefit Skin Cream,Urinary Tract Infection,I have been using this cream from long happy,9.0,2022-01-14 00:00:00,34,Positive
,Candid Multi-Benefit Skin Cream,Urinary Tract Infection,Its very effective for my skin disease,10.0,2022-08-05 00:00:00,24,Positive
,Namyaa Mutrakriccha Syrup for UTI,Urinary Tract Infection,It is so useful to treat a UTI problems,10.0,2023-08-31 00:00:00,13,Positive
,Namyaa Mutrakriccha Syrup for UTI,Urinary Tract Infection,Nice product for women and it's very healthy,8.0,2023-12-13 00:00:00,34,Positive
,Namyaa Mutrakriccha Syrup for UTI,Urinary Tract Infection,I took this regularly but didn't work for me,4.0,2023-04-25 00:00:00,39,Negative
,Baidyanath Pathrina,Urinary Tract Infection,Reduced infection and pain. Good medicine.,10.0,2023-11-04 00:00:00,37,Positive
,Baidyanath Pathrina,Urinary Tract Infection,Best medicine for UTI and kidney stone,9.0,2023-03-03 00:00:00,26,Positive
,Baidyanath Pathrina,Urinary Tract Infection,Very effective,9.0,2023-06-16 00:00:00,32,Positive
,Nisarga Herbs for Obesity,Obesity,Supper effective and super digestive. ,9.0,2023-07-10 00:00:00,23,Positive
,Nisarga Herbs for Obesity,Obesity,Good product,9.0,2023-11-04 00:00:00,34,Positive
,Nisarga Herbs for Obesity,Obesity,trust me it works.,9.0,2021-11-01 00:00:00,56,Positive
,Himalaya Wellness AyurSlim Capsules,Obesity,Results are steady and gradual but quite effective.,8.0, 6-Jan-2024,13,Positive
,Himalaya Wellness AyurSlim Capsules,Obesity,Received as shown in the image,7.0,2024-02-21 00:00:00,35,Neutral
,Himalaya Wellness AyurSlim Capsules,Obesity,Disliked product,4.0,2024-01-20 00:00:00,38,Negative
,Wellona Keto Fat Burner,Obesity,It's amazing creation and very recommendable to lose weight.,10.0,2024-02-29 00:00:00,37,Positive
,Wellona Keto Fat Burner,Obesity,starting i thought it is not effective after 5 days i seen good effects one,9.0,2024-03-06 00:00:00,29,Positive
,Wellona Keto Fat Burner,Obesity,Very effective product for loosing weight.,9.0,2024-03-08 00:00:00,38,Positive
,Boldfit Apple Cider Vinegar Tablets for Weight Loss,Obesity,It is good but littl bit smell it is ok I have received amount ,8.0,2024-02-13 00:00:00,39,Positive
,Boldfit Apple Cider Vinegar Tablets for Weight Loss,Obesity,Product is good with little low on taste,6.0,2024-03-06 00:00:00,39,Positive
,Boldfit Apple Cider Vinegar Tablets for Weight Loss,Obesity,This is a very good quality apple cider vinegar,10.0,2024-03-01 00:00:00,25,Positive
,Kapiva Get Slim Juice,Obesity,It helped reduce bloating and headaches.,10.0,2024-03-04 00:00:00,36,Positive
,Kapiva Get Slim Juice,Obesity,"Waste of money,it's not showing any results.",4.0,2023-12-22 00:00:00,25,Negative
,Kapiva Get Slim Juice,Obesity,I see positive results in my weight loss journey ,8.0,2023-06-17 00:00:00,46,Positive
,ORGANIC INDIA Ashwagandha Capsules,"Anxiety,Stress,Bipolar disorder, depression",One of the best ashwagandha capsules I feel after consuming for two months.,9.0,2023-10-26 00:00:00,35,Positive
,ORGANIC INDIA Ashwagandha Capsules,"Anxiety,Stress,Bipolar disorder, depression",Better sleep and better stress management.,10.0,2023-09-14 00:00:00,34,Positive
,ORGANIC INDIA Ashwagandha Capsules,"Anxiety,Stress,Bipolar disorder, depression",They helped me so much in reducing stress and keeping me focused,10.0,2023-07-18 00:00:00,46,Positive
,Life Aveda De Stress Ayurvedic medicine for stress & anxiety,"Anxiety,Stress,Bipolar disorder, depression",helpful & genuine supplement. Good product.,10.0,2024-01-19 00:00:00,54,Positive
,Life Aveda De Stress Ayurvedic medicine for stress & anxiety,"Anxiety,Stress,Bipolar disorder, depression",works like magic for stress,10.0,2024-02-13 00:00:00,34,Positive
,Life Aveda De Stress Ayurvedic medicine for stress & anxiety,"Anxiety,Stress,Bipolar disorder, depression",I noticed a significant difference in my overall stress levels. Good product!,10.0,2024-03-12 00:00:00,34,Positive
,Cureveda Herbal Stress Shield Tablets,"Anxiety,Stress,Bipolar disorder, depression",The product has great mix of Ayurvedic ingredients. ,10.0,2023-07-29 00:00:00,23,Positive
,Cureveda Herbal Stress Shield Tablets,"Anxiety,Stress,Bipolar disorder, depression",Very useful product. I used it for 10 days and got visible positive results.,10.0,2019-10-25 00:00:00,23,Positive
,Cureveda Herbal Stress Shield Tablets,"Anxiety,Stress,Bipolar disorder, depression",Not worth it .its better to consult a doctor near you .,6.0,2020-02-26 00:00:00,45,Negative
,"Himalaya Organic Ashwagandha, Release Stress","Anxiety,Stress,Bipolar disorder, depression",We are using it for the first time so can’t give a precise review now,5.0, 17-Dec-2023,34,Neutral
,"Himalaya Organic Ashwagandha, Release Stress","Anxiety,Stress,Bipolar disorder, depression",I bought this recently and the experience has been great! ,8.0,2024-02-19 00:00:00,12,Positive
,"Himalaya Organic Ashwagandha, Release Stress","Anxiety,Stress,Bipolar disorder, depression",Would highly recommend this to people looking to lower stress levels in these times.,9.0,2024-02-19 00:00:00,45,Positive
,Boldveda Ashwagandha Tablets for Men & Women,"Anxiety,Stress,Bipolar disorder, depression","Good product It's helping me to stabilize my mind, and it's giving the body energy.",10.0,2023-11-03 00:00:00,24,Positive
,Boldveda Ashwagandha Tablets for Men & Women,"Anxiety,Stress,Bipolar disorder, depression",ON'T BUY PLEASE no return refund by Amazon,2.0,2024-03-02 00:00:00,23,Negative
,Boldveda Ashwagandha Tablets for Men & Women,"Anxiety,Stress,Bipolar disorder, depression",Best in all aspects.,9.0,2024-01-10 00:00:00,30,Positive
,QUARANT VitaChews,Autism,"Excellent product, my children loved the taste and best of all that it helped them with their health.",10.0,2023-11-20 00:00:00,35,Positive
,QUARANT VitaChews,Autism,Give them to my son everyday for his daily vitamins. He likes them and says the taste is good.,10.0,2023-11-20 00:00:00,23,Positive
,QUARANT VitaChews,Autism,Too expensive. Alternatives are available.,6.0,2023-12-03 00:00:00,34,Neutral
,Rishtpusht Braino-Active,Autism,Total waste,5.0,2020-05-27 00:00:00,23,Negative
,Rishtpusht Braino-Active,Autism,Not that good,6.0,2020-04-28 00:00:00,45,Neutral
,Nutrileague L- Carnosine Syrup ,Autism,I liked this product very much,10.0,2023-07-24 00:00:00,33,Positive
,Nutrileague L- Carnosine Syrup ,Autism,Best product for my autism baby,10.0,2023-04-08 00:00:00,32,Positive
,Nutrileague L- Carnosine Syrup ,Autism,I used 4 bottles regularly..but didn't find any benefit or effectiveness to my kid.,5.0,2023-05-14 00:00:00,42,Negative
,AVP IQ Shakti 250g,Autism,"Very good product for children , it's yummy , immunity booster and sharpens the child's mind.",10.0,2024-01-21 00:00:00,13,Positive
,AVP IQ Shakti 250g,Autism,Great product with great taste,10.0,2024-02-08 00:00:00,35,Positive
,AVP IQ Shakti 250g,Autism,It is tasty and healthy for kids and kids taking easily I will recommend to all,10.0,2024-01-21 00:00:00,45,Positive
,Little Joys DHA Brain Health Gummies,Autism,"Good product, serves its purpose.",8.0,2024-04-22 00:00:00,23,Positive
,Little Joys DHA Brain Health Gummies,Autism,Very effective product.,9.0,2024-03-23 00:00:00,13,Positive
,Relaxyl Analgesic & Anti-Inflammatory Gel,"Inflammation,lupus",Really worth of money and very good get for any type of joint.,10.0,2022-08-09 00:00:00,35,Positive
,Relaxyl Analgesic & Anti-Inflammatory Gel,"Inflammation,lupus",Using since long as effective as day 1st.,10.0,2022-08-09 00:00:00,35,Positive
,Relaxyl Analgesic & Anti-Inflammatory Gel,"Inflammation,lupus",Super trusted this brand from 40 years,9.0,2022-10-07 00:00:00,34,Positive
,Systaflam Gel,"Inflammation,lupus",It is a good product but the tube was not sealed,8.0,2021-08-30 00:00:00,15,Positive
,Systaflam Gel,"Inflammation,lupus",It has good muscle relaxant and pain control,9.0,2021-11-26 00:00:00,36,Positive
,Systaflam Gel,"Inflammation,lupus",Very Had quality,5.0,2023-04-09 00:00:00,16,Negative
,Zandu Rhumasyl Liniment,"Inflammation,lupus",Quality and effective product,10.0,2019-12-29 00:00:00,23,Positive
,Zandu Rhumasyl Liniment,"Inflammation,lupus",I have used this earlier also but this sample is not original It doesn work as before,6.0,2019-05-25 00:00:00,34,Negative
,Zandu Rhumasyl Liniment,"Inflammation,lupus",Very useful,10.0,2019-10-17 00:00:00,43,Positive
,Boroplus Aloe Vera Gel For Anti-Inflammatory,"Inflammation,lupus",This is a awesome gel and very useful for skin also,10.0,2024-01-14 00:00:00,34,Positive
,Boroplus Aloe Vera Gel For Anti-Inflammatory,"Inflammation,lupus",A bit expensive but nice product,8.0,2023-11-29 00:00:00,35,Positive
,Boroplus Aloe Vera Gel For Anti-Inflammatory,"Inflammation,lupus",Very useful product,4.0,2024-03-10 00:00:00,45,Negative
,Kosmoderma DermaBrite Cream For anti-inflammatory effects,"Inflammation,lupus",Very effective product.,10.0,2023-05-11 00:00:00,15,Positive
,Kosmoderma DermaBrite Cream For anti-inflammatory effects,"Inflammation,lupus",Excellent product.,10.0,2023-07-12 00:00:00,35,Positive
,Kosmoderma DermaBrite Cream For anti-inflammatory effects,"Inflammation,lupus",Worst product,5.0,2023-03-13 00:00:00,33,Negative
,Himalaya Liv. 52 DS Tablet,Jaundice,It is effective and helped cure my Liver pain.,10.0,2022-01-01 00:00:00,34,Positive
,Himalaya Liv. 52 DS Tablet,Jaundice,Well done medicine for liver and you feel good,10.0,2022-08-01 00:00:00,44,Positive
,Himalaya Liv. 52 DS Tablet,Jaundice,Nice product. Effective,10.0,2022-08-03 00:00:00,23,Positive
,Baidyanath Lohasava for Jaundice,Jaundice,Very good product for entire FD family,10.0,2022-08-05 00:00:00,56,Positive
,Baidyanath Lohasava for Jaundice,Jaundice,May not be good for people with piles,6.0,2019-03-11 00:00:00,24,Negative
,Baidyanath Lohasava for Jaundice,Jaundice,It was good and healthy,10.0,2019-05-09 00:00:00,35,Positive
,Patanjali Divya Livogrit Tablet,Jaundice,Good for liver health so I like it,8.0,2022-06-03 00:00:00,22,Positive
,Patanjali Divya Livogrit Tablet,Jaundice,Very effective medicine for liver,10.0,2022-10-30 00:00:00,34,Positive
,Patanjali Divya Livogrit Tablet,Jaundice,This is the best Ayurvedic medicine to treat liver problems such as Keratitis and digestion issues,10.0,2023-02-25 00:00:00,55,Positive
,Vaidyaratnam Patoladi Kashayam for Jaundice,Jaundice,Very Effective product for Jaundice,10.0,2023-04-12 00:00:00,33,Positive
,Vaidyaratnam Patoladi Kashayam for Jaundice,Jaundice,Useful product,8.0,2023-07-23 00:00:00,23,Positive
,Vaidyaratnam Patoladi Kashayam for Jaundice,Jaundice,Didn’t feel much change,5.0,2023-01-01 00:00:00,21,Negative
,Cureveda Liver Support Supplement,Jaundice,This product very good. I like this product for my father. Very useful this product well performed.,10.0,2023-09-12 00:00:00,23,Positive
,Cureveda Liver Support Supplement,Jaundice,Worked for me well enough,10.0,2023-12-03 00:00:00,34,Positive
,Cureveda Liver Support Supplement,Jaundice,"I had 2 bottles, but not improve my liver enzymes values",6.0,2021-04-28 00:00:00,38,Negative
,ENO Lemon Digestive Anatacid,"Indigestion,Stomachache,acidity",Timely delivered and good product,10.0,2024-01-20 00:00:00,26,Positive
,ENO Lemon Digestive Anatacid,"Indigestion,Stomachache,acidity",Easy to use and it's effective,10.0,2023-11-07 00:00:00,27,Positive
,ENO Lemon Digestive Anatacid,"Indigestion,Stomachache,acidity",Best in all aspects.,10.0,2024-01-13 00:00:00,28,Positive
,Dabur Pudin Hara Pearls For Indigestion,"Indigestion,Stomachache,acidity",Best for Gas problem,10.0,2021-07-27 00:00:00,45,Positive
,Dabur Pudin Hara Pearls For Indigestion,"Indigestion,Stomachache,acidity","Excellent product, really cool effect on the digestive system",9.0,2022-01-03 00:00:00,34,Positive
,Dabur Pudin Hara Pearls For Indigestion,"Indigestion,Stomachache,acidity",Good digestive pill,10.0,2022-06-05 00:00:00,45,Positive
,Himalaya Gasex Tablet,"Indigestion,Stomachache,acidity",its helpful for stomach,8.0,2021-11-24 00:00:00,34,Positive
,Himalaya Gasex Tablet,"Indigestion,Stomachache,acidity",Very nice effective Easy to carry in journey,9.0,2022-07-22 00:00:00,26,Positive
,Himalaya Gasex Tablet,"Indigestion,Stomachache,acidity",Good and effective way to control gas problem naturally,10.0,2022-07-14 00:00:00,45,Positive
,Patanjali Ayurveda Bel Candy,"Indigestion,Stomachache,acidity",Very very helpful for digestion,10.0,2022-10-17 00:00:00,23,Positive
,Patanjali Ayurveda Bel Candy,"Indigestion,Stomachache,acidity",I found it very good for strengthening digestive system and regulation of bowel movement.,9.0,2022-12-05 00:00:00,44,Positive
,Patanjali Ayurveda Bel Candy,"Indigestion,Stomachache,acidity",Nice Product from Patanzali,10.0,2022-07-27 00:00:00,23,Positive
,Maharishi Ayurveda Dizomap,"Indigestion,Stomachache,acidity",Good product try it it's giving good result,10.0,2021-09-19 00:00:00,34,Positive
,Maharishi Ayurveda Dizomap,"Indigestion,Stomachache,acidity",Good results in indigestion and constipation,10.0,2022-06-08 00:00:00,20,Positive
,Maharishi Ayurveda Dizomap,"Indigestion,Stomachache,acidity","This product is supposed to provide relief from constipation, on the contrary it caused severe constipation. Failed to provide relief.",3.0,2023-10-23 00:00:00,30,Negative
,Volini Activ Pain Relief,Pain relief,Good purchase in valueable price,10.0,2024-01-27 00:00:00,39,Positive
,Volini Activ Pain Relief,Pain relief,It is a fake product,4.0,2024-03-05 00:00:00,34,Negative
,Volini Activ Pain Relief,Pain relief,Volini gel is effective as I get quick relief for my body pain,10.0,2023-09-17 00:00:00,33,Positive
,Moov Fast Pain Relief Cream,Pain relief,"My grandfather had a neck pain so I bought it, it is effective and good",10.0,2023-10-21 00:00:00,32,Positive
,Moov Fast Pain Relief Cream,Pain relief,Delivery was quick. Packing wasgood.On the whole it's value for money..,10.0,2023-10-14 00:00:00,32,Positive
,Moov Fast Pain Relief Cream,Pain relief,I use many ain relief but moove is not so effective and also very sticky after washing it dosent wash out,7.0,2023-03-30 00:00:00,26,Neutral
,Himalaya Rumalaya gel,Pain relief,"We already used it, very good",10.0,2023-12-23 00:00:00,46,Positive
,Himalaya Rumalaya gel,Pain relief,"Highly recommended for blows, bruises, etc.",10.0,2023-12-17 00:00:00,45,Positive
,Himalaya Rumalaya gel,Pain relief,"And for injuries, helping to repair is very good.",9.0, 27-Apr-2023,37,Positive
,Dr Ortho Ayurvedic Pain Relief Oil,Pain relief,"I ordered for my grand father...it's working perfectly, I got at a good deal.",9.0,2024-03-03 00:00:00,34,Positive
